name,yeast_id,style_id,color_id,taste_id,level,photo,origine,,Title_URL,Title1,description,,
BADEN POWER IMPERIAL STOUT BOURBON  ,1,100,2,2,10,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/615109/664e45b1e5995962399837.png.webp,France,Imperial Stout,https://www.vandb.fr/biere/baden-power-imperial-stout-bourbon-33cl.html,Bouteille de 0.33 L,Blonde Imperial Stout 10 % O'clock - France,Blonde,%
BANOFFEE PIE  ,1,100,6,2,11,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/615999/664e4bb745e1e369515862.png.webp,France,Imperial Stout,https://www.vandb.fr/biere/banoffee-pie-33cl.html,Canette de 0.33 L,Noire Imperial Stout 11 % La Débauche - France,Noire,%
BAPTIST BLANCHE  ,1,4,1,5,5,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/611365/664e23d0ce410604333522.png.webp,Belgique,Witbier,https://www.vandb.fr/biere/baptist-blanche-33cl.html,Bouteille de 0.33 L,Blanche Witbier 5 % Van Steenberge - Belgique,Blanche,%
BAPTIST IPA  ,1,45,2,2,6.7,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/616792/664e582be0784452971215.png.webp,Belgique,IPA,https://www.vandb.fr/biere/baptist-ipa-33-cl.html,Bouteille de 0.33 L,Blonde IPA 6.7 % Van Steenberge - Belgique,Blonde,%
BARBAR  ,1,19,2,5,8,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/611375/664e23db59e2d856173952.png.webp,Belgique,Strong Ale,https://www.vandb.fr/biere/barbar-33cl.html,Bouteille de 0.33 L,Blonde Strong Ale 8 % Lefebvre - Belgique,Blonde,%
BARBAR ROUGE  ,1,29,4,3,8,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/611381/664e23e0923b6889301130.png.webp,Belgique,Aromatisée-fruitée,https://www.vandb.fr/biere/barbar-rouge-33-cl.html,Bouteille de 0.33 L,Rouge Aromatisée-fruitée 8 % Lefebvre - Belgique,Rouge,%
BARBAR WINTER BOK  ,1,76,5,5,8.5,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/611383/664e23e42ac85294103740.png.webp,Belgique,Dark Ale,https://www.vandb.fr/biere/barbar-winter-bok-33cl.html,Bouteille de 0.33 L,Brune Dark Ale 8.5 % Lefebvre - Belgique,Brune,%
BAYREUTHER HELL  ,2,7,2,5,4.9,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/522919/6606a3914cf83722815872.png.webp,Allemagne,Helles,https://www.vandb.fr/biere/bayreuther-hell-50-cl.html,Bouteille de 0.5 L,Blonde Helles 4.9 % Maisel - Allemagne,Blonde,%
BAYREUTHER HELL   NC,2,7,2,5,4.9,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/524184/6606ad84b6a9a012843079.png.webp,Allemagne,Helles,https://www.vandb.fr/biere/bayreuther-hell-33-cl.html,Bouteille de 0.33 L,Blonde Helles 4.9 % Maisel - Allemagne,Blonde,%
BEACH BREAK  ,1,33,2,2,4.5,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/615815/664e4a587739c704126142.png.webp,Espagne,Pale Ale,https://www.vandb.fr/biere/beach-break-44-cl.html,Canette de 0.44 L,Blonde Pale Ale 4.5 % Edge Brewing - Espagne,Blonde,%
