id,name,city,website,type_id,active,zipcode
2014,Paille,LOURNAND,www.brasserie-paille.fr,2,TRUE,71250
2015,L'Ours des Tavernes,MARY,,2,TRUE,71300
2016,La Rustine,ÉPERVANS,larustine.net,2,TRUE,71380
2017,Simone,JUIF,,2,TRUE,71440
2018,La Mise en Bière,CONDAL,brasserie-lamiseenbiere.fr,2,TRUE,71480
2019,Mala Maña,LOUHANS,,2,TRUE,71500
2020,"de Sornay
Bellion Boissons",SORNAY,www.brasseriedesornay.com,2,TRUE,71500
2021,artisanale de Bourgogne (BAB),CHAMILLY,"brasserie-la-bab.fr
audacieuse-bab.com",2,TRUE,71510
2022,La Couleuvre,DOMPIERRE-LES-ORMES,,2,TRUE,71520
2023,Terre de Possibles,SAINT-PIERRE-LE-VIEUX,,2,TRUE,71520
2024,"La Ressource
KRB",SAINT-AMOUR-BELLEVUE,laressource.bio,2,TRUE,71570
2025,Roncier,MERCUREY,www.roncier.com,2,TRUE,71640
2026,Two Dudes,CRÊCHES-SUR-SAÔNE,www.twodudes-brasserie.com,2,TRUE,71680
2027,La Débeurdineuse,CHARMOY,,2,TRUE,71710
2028,"La Sale Affaire
Brasserie du Brionnais",CHÂTEAUNEUF,,2,TRUE,71740
2029,Septante-Deux,LE MANS,www.brasserieseptantedeux.com,2,TRUE,72000
2030,Bonn'et Ale,BONNÉTABLE,,2,TRUE,72110
2031,"des Alpes Mancelles
BAAM SAS",SAINT-OUEN-DE-MIMBRÉ,www.montrocheux.fr,2,TRUE,72130
2032,"de la Basse Lande
Ferme Brasserie Blossier",SÉGRIE,labasselande.fr,2,TRUE,72170
2033,La Piraterie,ÉCOMMOY,lacorderaide.com,2,TRUE,72220
2034,"Belle Vallée
Jolicoeur",LAIGNÉ-EN-BELIN,www.bierejolicoeur.com,2,TRUE,72220
2035,de Montmirail (BDM),MONTMIRAIL,www.brasseriedemontmirail.com,2,TRUE,72320
2036,La Valennoise,VALENNES,,2,TRUE,72320
2037,Saint Mars La Bière,SAINT-MARS-LA-BRIÈRE,www.brasseriesaintmarslabiere72.com,2,TRUE,72470
2038,Pique-Prune,JUPILLES,www.brasseriepiqueprune.com,2,TRUE,72500
2039,Nostradamousse,MONTVAL-SUR-LOIR,www.nostradamousse.fr,2,TRUE,72500
2040,du Pic Vert,COULANS-SUR-GÉE,,2,TRUE,72550
2041,Mage Malte,MAMERS,mage-malte.com,2,TRUE,72600
2042,Les Délices de la Ferme,AIGNÉ,delicesdelaferme.e-monsite.com,2,TRUE,72650
2043,Les 3 Brasseurs,SAINT-SATURNIN,www.les3brasseurs.com,2,TRUE,72650
2044,Planète 9,ROUILLON,planete-9.fr,2,TRUE,72700
2045,Coup de Mousse,CHAMBÉRY,coupdemousse.com,2,TRUE,73000
2046,des Cimes,AIX-LES-BAINS,brasserie-des-cimes.com,2,TRUE,73100
2047,Les Funambules,LA CROIX-DE-LA-ROCHETTE,www.microbrasserielesfunambules.fr,2,TRUE,73110
2048,Orelle Caron,ORELLE,,2,TRUE,73140
2049,La Bulle Carrée,SAINT-MARTIN-DE-LA-PORTE,,2,TRUE,73140
2050,La Montagnarde - Site de Challes-les-Eaux,CHALLES-LES-EAUX,la-montagnarde.fr,2,TRUE,73190
2051,du Merle,PUYGROS,brasseriedumerle.fr,2,TRUE,73190
2052,Roving Hop,ALBERTVILLE,,2,TRUE,73200
2053,Guet Apinte,GRIGNON,brasserie-guet-apinte.business.site,2,TRUE,73200
2054,Brassin Versant,AIME-LA-PLAGNE,,2,TRUE,73210
2055,Les Ceutrons,AIME-LA-PLAGNE,,2,TRUE,73210
2056,Sapaudia,AIME-LA-PLAGNE,sapaudiabrewing.co,2,TRUE,73210
2057,La Peiserote,PEISEY-NANCROIX,,2,TRUE,73210
2058,du Grand Pic,ÉPIERRE,www.brasseriegrandpic.com,2,TRUE,73220
2059,Archimalt,SAINT-ALBAN-LEYSSE,www.archimalt.fr,2,TRUE,73230
2060,La Montagnarde - Site de Saint-Jean-d'Arvey,SAINT-JEAN-D'ARVEY,la-montagnarde.fr,2,TRUE,73230
2061,La Mousse du Guiers,SAINT-GENIX-LES-VILLAGES,www.la-mousse-du-guiers.fr,2,TRUE,73240
2062,La Roteuse de l'Arclusaz,SAINT-JEAN-DE-LA-PORTE,laroteusedelarclus.wixsite.com/le-site,2,TRUE,73250
2063,du Beaufortain,BEAUFORT,,2,TRUE,73270
2064,du Mont Blanc,LA MOTTE-SERVOLEX,www.brasserie-montblanc.com,2,TRUE,73290
2065,Jananka,FONTCOUVERTE-LA-TOUSSUIRE,,2,TRUE,73300
2066,de Chanaz,CHANAZ,www.brasserie-de-chanaz.fr,2,TRUE,73310
2067,Les Croqueurs de Lune,SERRIÈRES-EN-CHAUTAGNE,croqueursdelune.com,2,TRUE,73310
2068,L'Ecume du Guiers,DOMESSIN,,2,TRUE,73330
2069,La Baujue,LESCHERAINES,biere-labaujue.com,2,TRUE,73340
2070,L'Antidote,BOZEL,www.antidote-brasserie.com,2,TRUE,73350
2071,Les Mousses du Dahu,LE PLANAY,www.lesmoussesdudahu.com,2,TRUE,73350
2072,Caquot,ENTRELACS,brasseriecaquot.fr,2,TRUE,73410
2073,Colibri,LA BIOLLE,,2,TRUE,73410
2074,Artisanale de Sabaudia (B.A.S),VOGLANS,b-a-s.fr,2,TRUE,73420
2075,"Brâva Vela
ART2O",LES BELLEVILLE,bravavela.fr,2,TRUE,73440
2076,Galibier,VALLOIRE,www.biere-galibier.com,2,TRUE,73450
2077,La Gwape,VALMEINIER,,2,TRUE,73450
2078,Yolhop,GRÉSY-SUR-ISÈRE,,2,TRUE,73460
2079,La Barbue,LA RAVOIRE,brasserielabarbue.fr,2,TRUE,73490
2080,d'Oé,AUSSOIS,www.bieredoe.fr,2,TRUE,73500
2081,L'Arplanaise,FOURNEAUX,www.brasserie-arplanaise.fr,2,TRUE,73500
2082,des Sources de Vanoise,VILLARODIN-BOURGET,www.brasserievanoise.com,2,TRUE,73500
2083,Alpine,MOÛTIERS,www.brasseriealpine.fr,2,TRUE,73600
2084,Les Névés,BOURG-SAINT-MAURICE,www.lesneves.fr,2,TRUE,73700
2085,du Petit St Bernard,BOURG-SAINT-MAURICE,brasseriepsb.com,2,TRUE,73700
2086,Tarine,BOURG-SAINT-MAURICE,www.labrasserietarine.com,2,TRUE,73700
2087,Spartan,ROGNAIX,microbrasserie-spartan.business.site,2,TRUE,73730
2088,Quardin,CHIGNIN,,2,TRUE,73800
2089,Faye,MONTMÉLIAN,www.brasseriefaye.fr,2,TRUE,73800
2090,La Cuvée des Aulps,PORTE-DE-SAVOIE,www.lacuveedesaulps.fr,2,TRUE,73800
2091,du Claret,SAINT-JULIEN-MONT-DENIS,,2,TRUE,73870
2092,Bec Jaune Brewery,MORZINE,becjaunebrewery.com,2,TRUE,74110
2093,IBEX,MORZINE,www.ibexbeer.com,2,TRUE,74110
2094,du Fayard,DOUVAINE,,2,TRUE,74140
2095,Veyrat,MARCELLAZ-ALBANAIS,www.brasserie-veyrat.com,2,TRUE,74150
2096,Mordorée,MOYE,,2,TRUE,74150
2097,du Mont Salève,FEIGÈRES,labrasseriedumontsaleve.com,2,TRUE,74160
2098,Adennes,SAINT-JULIEN-EN-GENEVOIS,brasserie-adennes.com,2,TRUE,74160
2099,Marmotte Beer,SAINT-GERVAIS-LES-BAINS,www.marmotte-beer.com,2,TRUE,74170
2100,Big Mountain Brewing Co.,PASSY,www.bigmtnbrew.co,2,TRUE,74190
2101,Le Blaireau Qui Brasse,PASSY,www.blaireau-brasserie.com,2,TRUE,74190
