id,name,city,website,type_id,active,zipcode
2520,Saint Ouen Paris,SAINT-OUEN-SUR-SEINE,saint-ouen-paris.com,2,TRUE,93400
2521,Bières Nimbus,PANTIN,bieresnimbus.fr,2,TRUE,93500
2522,Gallia - Site de Pantin,PANTIN,www.galliaparis.com,2,TRUE,93500
2523,La Parisienne,PANTIN,brasserielaparisienne.com,2,TRUE,93500
2524,Paname Brewing Company (L'Atelier),PANTIN,www.panamebrewingcompany.com,2,TRUE,93500
2525,3ienchs,SAINT-MAUR-DES-FOSSÉS,,2,TRUE,94100
2526,Outland,FONTENAY-SOUS-BOIS,outland-beer.com,2,TRUE,94120
2527,L'Alfortvillaise,ALFORTVILLE,lalfortvillaise.com,2,TRUE,94140
2528,Gallia - Site de Sucy-en-Brie,SUCY-EN-BRIE,www.galliaparis.com,2,TRUE,94370
2529,"Les Brasseries Parisiennes
BAPBAP - Site de Sucy-en-Brie",SUCY-EN-BRIE,www.bapbap.paris,2,TRUE,94370
2530,Deck & Donohue,BONNEUIL-SUR-MARNE,www.deck-donohue.com,2,TRUE,94380
2531,Breuvages et Bavardages,VITRY-SUR-SEINE,,2,TRUE,94400
2532,Artemus,LIMEIL-BRÉVANNES,www.brasserie-artemus.fr,2,TRUE,94450
2533,925,CHAMPIGNY-SUR-MARNE,www.brasserie925.com,2,TRUE,94500
2534,Le Micro Kombinat,LA QUEUE-EN-BRIE,larepublikdesmousses.fr,2,TRUE,94510
2535,Nous Douze,CHOISY-LE-ROI,nousdouze.blogspot.com,2,TRUE,94600
2536,S'tache,CHOISY-LE-ROI,brasseriestache.fr,2,TRUE,94600
2537,Le Sapeur Brasseur,SANNOIS,www.lesapeurbrasseur.com,2,TRUE,95110
2538,Terrabière,DEUIL-LA-BARRE,www.brasserie-terrabiere.com,2,TRUE,95170
2539,Les 3 Brasseurs,CORMEILLES-EN-PARISIS,www.les3brasseurs.com,2,TRUE,95240
2540,The BeerWitched,CHAUMONTEL,,2,TRUE,95270
2541,"E&B Bière Compagnie
La Bière Saint Loupienne",SAINT-LEU-LA-FORÊT,la-biere-saint-loupienne.fr,2,TRUE,95320
2542,d'Orville,LOUVRES,brasseriedorville.com,2,TRUE,95380
2543,Hespebay,GROSLAY,hespebay.fr,2,TRUE,95410
2544,Ferme-Brasserie du Vexin,THEMERICOURT,www.biere-du-vexin.com,2,TRUE,95450
2545,Les 3 Brasseurs,ERAGNY SUR OISE,www.les3brasseurs.com,2,TRUE,95610
2546,830,BOISSY-L'AILLERIE,www.brasserie830.fr,2,TRUE,95650
2547,Roissy Craft House,ROISSY-EN-FRANCE,www.crafthousepub.fr,2,TRUE,95700
2548,Les Brasseurs de Guadeloupe,BAIE-MAHAULT (Guadeloupe),gwadabeer.com,2,TRUE,97122
2549,de Deshaies,DESHAIES (Guadeloupe),www.karett.fr,2,TRUE,97126
2550,Lékouz,GOYAVE (Guadeloupe),www.lekouz.com,2,TRUE,97128
2551,Lost SXM,SAINT-MARTIN,,2,TRUE,97150
2552,Bières de la Lézarde,PETIT-BOURG (Guadeloupe),,2,TRUE,97170
2553,Petite Brasserie Martiniquaise,SAINTE-LUCE (Martinique),,2,TRUE,97228
2554,Lorraine,LE LAMANTIN (Martinique),www.brasserielorraine.com,2,TRUE,97232
2555,Le Deck,SCHOELCHER (Martinique),le-deck-restaurant.restaurantmartinique.net,2,TRUE,97233
2556,Guyanaise,MATOURY (Guyane),www.jeunegueule.com,2,TRUE,97351
2557,Origin'Ale,MONTSINÉRY-TONNEGRANDE (Guyane),origin-ale.com,2,TRUE,97356
2558,Bourbon,SAINT-DENIS (La Réunion),www.ladodo.com,2,TRUE,97400
2559,Dalons,SAINT-DENIS (La Réunion),www.bieredalons.com,2,TRUE,97400
2560,La Peïzane,SAINT-PIERRE (La Réunion),,2,TRUE,97410
2561,Les 3 Brasseurs,SAINT-PIERRE (La Réunion),www.les3brasseurs.re,2,TRUE,97410
2562,Picaro,SAINT-PIERRE (La Réunion),www.brasseriepicaro.com,2,TRUE,97410
2563,La BIB – Atelier de brassage,ENTRE-DEUX (LA RÉUNION),labib.re,2,TRUE,97414
2564,La Mafataise,LA POSSESSION (LA RÉUNION),,2,TRUE,97419
2565,des Couleurs,SAINT-LEU (LA RÉUNION),brasseriedescouleurs.fr,2,TRUE,97424
2566,du Yab,LES AVIRONS (La Réunion),,2,TRUE,97425
2567,de l'Ilet,LA PLAINE-DES-PALMISTES (La Réunion),brasseriedelilet.pourchez.com,2,TRUE,97431
2568,Spot,SAINT-LEU,lespot.re,2,TRUE,97436
2569,Les 3 Brasseurs,SAINTE-MARIE (La Réunion),www.les3brasseurs.re,2,TRUE,97438
2570,Sorebra,SAINT-LOUIS (La Réunion),www.sorebra.re,2,TRUE,97450
2571,Le Demeter,SAINT-PAUL (La Réunion),www.manzel.fr,2,TRUE,97460
2572,Les 3 Brasseurs,SAINT-PAUL (La Réunion),www.les3brasseurs.re,2,TRUE,97460
2573,de l'Anse,MIQUELON-LANGLADE (Saint-Pierre-et-Miquelon),,2,TRUE,97500
2574,Aqua Service Mayotte (Hipo),MAMOUDZOU (Mayotte),,2,TRUE,97600
2575,de Mayotte,KOUNGOU (Mayotte),,2,TRUE,97690
